PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.Organisms	[1] Ctrl_1.raw.PG.Log2Quantity	[2] Ctrl_2.raw.PG.Log2Quantity	[3] Ctrl_3.raw.PG.Log2Quantity	[4] Ctrl_4.raw.PG.Log2Quantity	[5] Ctrl_5.raw.PG.Log2Quantity	[6] TreatA_1.raw.PG.Log2Quantity	[7] TreatA_2.raw.PG.Log2Quantity	[8] TreatA_3.raw.PG.Log2Quantity	[9] TreatA_4.raw.PG.Log2Quantity	[10] TreatA_5.raw.PG.Log2Quantity	[11] TreatB_1.raw.PG.Log2Quantity	[12] TreatB_2.raw.PG.Log2Quantity	[13] TreatB_3.raw.PG.Log2Quantity	[14] TreatB_4.raw.PG.Log2Quantity	[15] TreatB_5.raw.PG.Log2Quantity
Q6IPW0	FAM193B	family with sequence similarity 193 member B	Homo sapiens	18.828	18.415	18.351	17.787	17.833	18.227	18.505	18.813	18.31	18.286	18.991	18.127	18.876	18.547	18.136
A8K096	GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6	Homo sapiens	16.493	16.908	15.92	16.459	16.811	NA	NA	14.602	13.969	14.031	NA	15.555	NA	15.354	14.83
B0FXJ1	OPRM1	opioid receptor mu 1	Homo sapiens	NA	NA	12.048	NA	NA	NA	NA	NA	NA	NA	NA	11.204	NA	NA	NA
Q14088	RAB33A	RAB33A, member RAS oncogene family	Homo sapiens	14.672	14.418	14.332	13.709	NA	14.443	14.793	14.339	NA	14.002	14.595	NA	14.615	NA	NA
Q7Z7H5	TMED4	transmembrane p24 trafficking protein 4	Homo sapiens	15.165	NA	15.362	14.642	15.046	15.331	NA	15.881	15.445	14.135	15.291	15.739	15.238	NA	15.808
A0A075B738	PECAM1	platelet and endothelial cell adhesion molecule 1	Homo sapiens	17.01	17.678	17.046	17.23	17.108	16.854	17.248	17.146	16.846	17.4	16.923	18.115	NA	17.366	16.922
A0A126GVR1	OR7D4	olfactory receptor family 7 subfamily D member 4	Homo sapiens	16.541	15.542	15.57	15.486	16.012	NA	NA	16.276	15.447	15.231	15.891	16.475	NA	15.958	16.048
Q3KNW5	SLC10A6	solute carrier family 10 member 6	Homo sapiens	NA	NA	NA	14.079	14.852	NA	14.064	14.629	14.511	13.425	14.134	14.891	NA	14.468	14.47
Q3LI58	KRTAP21-1	keratin associated protein 21-1	Homo sapiens	NA	15.821	15.725	15.135	15.559	15.531	15.526	15.949	15.009	15.577	15.686	16.208	NA	15.358	15.321
Q8N5S9	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	Homo sapiens	19.279	19.063	19.054	18.679	19.418	19.092	18.604	18.637	19.376	18.624	21.22	21.588	21.243	21.366	20.61
Q2M2E4	DLEU7	deleted in lymphocytic leukemia 7	Homo sapiens	19.658	19.524	19.585	19.881	19.408	20.147	19.657	20.382	NA	19.662	19.543	20.977	19.802	19.807	NA
A6NMX0	MAGED2	MAGE family member D2	Homo sapiens	19.907	19.598	19.437	19.214	19.954	19.927	19.278	19.666	19.424	19.274	20.139	20.045	19.812	19.497	18.573
S5NU80	SCN5A	sodium voltage-gated channel alpha subunit 5	Homo sapiens	15.635	15.308	16.021	15.153	15.995	15.503	15.844	16.228	15.199	14.96	15.758	16.007	15.968	15.907	15.295
B0UY00	ZBTB12	zinc finger and BTB domain containing 12	Homo sapiens	16.212	16.051	16.079	15.764	15.787	15.969	16.454	16.518	15.948	16.42	18.31	18.33	18.588	18.58	18.225
Q2M3F7	GPR174	G protein-coupled receptor 174	Homo sapiens	17.695	NA	17.64	NA	17.768	17.051	18.185	18.129	16.879	17.094	17.525	17.605	17.769	17.424	17.574
Q1EHB4	SLC5A12	solute carrier family 5 member 12	Homo sapiens	18.307	18.672	18.505	18.275	18.242	18.17	18.128	19.136	18.461	18.628	18.445	18.49	18.374	18.298	18.169
A0A140VJE9	APLP2	amyloid beta precursor like protein 2	Homo sapiens	15.925	NA	NA	14.974	15.864	16.067	NA	15.975	15.23	NA	15.528	15.551	15.713	15.666	NA
P33947	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	Homo sapiens	15.456	16.11	16.355	NA	15.436	15.742	15.659	15.989	15.692	16.016	15.589	16.332	16.221	15.584	15.747
A0A3B3ITA1	RNF43	ring finger protein 43	Homo sapiens	NA	12.564	NA	NA	NA	NA	NA	13.581	NA	13.951	14.237	14.954	14.534	13.817	NA
Q67FW5	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	Homo sapiens	18.283	17.858	18.455	16.963	17.572	20.903	20.957	21.072	20.035	19.916	19.396	18.799	19.008	19.244	18.686
A5LIN1	TNFRSF25	TNF receptor superfamily member 25	Homo sapiens	14.193	14.875	NA	14.797	13.887	NA	14.917	15.468	14.81	NA	NA	14.892	15.116	14.818	NA
Q02928	CYP4A11	cytochrome P450 family 4 subfamily A member 11	Homo sapiens	NA	NA	12.04	NA	12.58	NA	NA	NA	12.064	NA	NA	NA	NA	NA	NA
A0A494C1Q3	CCDC39	coiled-coil domain 39 molecular ruler complex subunit	Homo sapiens	12.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q03431	PTH1R	parathyroid hormone 1 receptor	Homo sapiens	17.797	17.822	NA	17.834	18.191	18.061	17.741	18.274	18.246	18.258	17.905	18.01	18.143	18.347	17.708
A0A0A0MSW7	PRR16	proline rich 16	Homo sapiens	NA	NA	14.449	14.319	14.822	14.99	NA	NA	14.585	14.417	14.868	14.943	14.585	14.938	14.217
B3KM38	BANP	BTG3 associated nuclear protein	Homo sapiens	16.226	16.081	NA	15.581	16.038	NA	16.472	16.353	16.434	15.288	NA	15.853	16.011	16.937	15.674
A0A0U1RQF7	DPEP2NB	DPEP2 neighbor	Homo sapiens	15.309	15.458	16.136	14.978	15.531	16.621	15.55	16.724	15.564	16.117	15.565	15.555	16.15	NA	15.82
A8K437	PCK1	phosphoenolpyruvate carboxykinase 1	Homo sapiens	14.951	14.853	NA	14.728	15.007	17.085	17.784	17.474	16.842	16.565	14.386	NA	14.811	NA	14.515
Q5JPK0	TAB3	TGF-beta activated kinase 1 (MAP3K7) binding protein 3	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	13.096	NA	13.733	NA	13.338	13.636	12.803
A0A6Q8PGT6	IGHMBP2	immunoglobulin mu DNA binding protein 2	Homo sapiens	15.068	15.56	15.683	14.789	15.583	15.603	15.012	16.168	15.286	15.296	15.396	15.701	NA	15.795	NA
A8K4C9	HELB	DNA helicase B	Homo sapiens	17.802	17.481	17.774	16.727	17.343	17.729	17.821	17.706	17.87	NA	17.414	17.835	17.674	17.876	17.18
B4DLI5	LAPTM5	lysosomal protein transmembrane 5	Homo sapiens	18.347	18.951	19.027	18.518	NA	21.21	20.636	21.604	20.905	21.411	18.064	19.048	19.36	18.691	18.096
A8K9N7	CFHR4	complement factor H related 4	Homo sapiens	16.533	NA	17.047	16.54	16.646	16.128	16.537	17.27	16.077	15.795	16.27	16.85	16.441	16.624	16.235
A6NEL2	SOWAHB	sosondowah ankyrin repeat domain family member B	Homo sapiens	16.896	16.809	16.63	16.201	16.624	16.795	17.142	17.057	17.036	16.826	17.163	17.568	16.835	17.4	17.056
Q8NA47	CCDC63	coiled-coil domain containing 63	Homo sapiens	17.761	17.569	17.461	17.096	17.802	17.743	17.647	18.076	17.194	17.357	17.929	18.379	17.18	17.467	17.626
H7BXI7	LYPD6B	LY6/PLAUR domain containing 6B	Homo sapiens	16.154	16.356	NA	15.991	16.257	NA	18.016	18.926	17.654	17.722	13.162	NA	NA	NA	13.294
A4D256	CDC14C	cell division cycle 14C	Homo sapiens	15.943	16.113	16.118	15.465	16.133	NA	13.328	14.173	NA	NA	16.113	16.492	15.835	16.302	15.285
A6H8X1	CDK5RAP2	CDK5 regulatory subunit associated protein 2	Homo sapiens	19.022	19.045	18.897	18.917	19.161	21.267	20.694	21.263	20.862	21.825	19.158	19.273	19.225	19.437	19.425
E9PE87	PARD3B	par-3 family cell polarity regulator beta	Homo sapiens	NA	NA	14.581	14.853	14.876	NA	14.639	15.507	14.49	NA	14.518	15.144	NA	15.199	14.407
A8K3H0	MFAP5	microfibril associated protein 5	Homo sapiens	16.446	15.91	16.207	15.894	16.895	16.122	16.069	16.666	16.194	15.891	NA	16.738	NA	16.805	16.031
B3KY79	KRT7	keratin 7	Homo sapiens	14.865	14.793	NA	14.842	14.803	15.057	NA	15.369	14.629	14.817	15.298	14.728	14.996	14.905	14.832
A0A804HIA4	FHAD1	forkhead associated phosphopeptide binding domain 1	Homo sapiens	15.363	14.545	14.471	14.432	14.987	14.863	14.715	15.458	15.047	14.337	NA	NA	15.089	15.756	14.233
P03999	OPN1SW	opsin 1, short wave sensitive	Homo sapiens	16.283	16.213	16.122	16.328	NA	16.8	16.174	16.795	15.99	16.073	15.899	16.273	16.37	16.184	NA
P09430	TNP1	transition protein 1	Homo sapiens	NA	13.115	13.294	NA	NA	NA	NA	NA	NA	NA	15.303	15.706	NA	15.761	15.532
A7E242	AKAP6	A-kinase anchoring protein 6	Homo sapiens	17.233	16.834	16.708	16.373	17.258	16.987	17.131	17.005	16.969	16.788	17.102	17.013	NA	17.188	16.987
A0S6W1	CTCFL	CCCTC-binding factor like	Homo sapiens	14.1	NA	NA	14.005	NA	14.034	14.418	14.779	14.414	NA	13.899	14.461	14.145	14.544	NA
Q86WR6	CHCT1	CHD1 helical C-terminal domain containing 1	Homo sapiens	17.068	17.104	16.989	16.389	NA	16.166	16.1	16.8	16.215	16.107	16.007	16.51	15.828	15.946	15.47
A0A8J9C2I7	PITX2	paired like homeodomain 2	Homo sapiens	17.913	18.328	18.493	17.739	18.043	18.091	18.029	18.9	18.187	18.113	NA	NA	18.519	18.545	18.572
A8MWT5	IMPG2	interphotoreceptor matrix proteoglycan 2	Homo sapiens	15.598	15.548	NA	14.89	14.859	14.388	NA	NA	14.882	15.049	15.219	15.137	15.032	15.692	NA
A0A0D9SF12	CCDC163	CCDC163 homolog	Homo sapiens	NA	NA	15.041	14.538	14.778	15.119	14.563	16.126	NA	NA	NA	15.026	14.974	15.299	NA
Q92541	RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component	Homo sapiens	16.99	17.167	17.199	16.812	16.665	16.899	17.576	17.475	16.858	16.921	17.473	17.209	17.476	17.145	NA
A0A8J8YUZ5	PPFIA4	PTPRF interacting protein alpha 4	Homo sapiens	15.662	NA	15.412	15.23	15.257	15.542	15.237	15.53	14.889	NA	16.782	17.454	17.151	17.529	NA
B5MDW2	SNX29	sorting nexin 29	Homo sapiens	19.151	18.893	18.804	18.507	18.769	19.004	18.737	19.295	18.247	18.927	18.343	18.961	18.373	19.121	18.332
B4DF88	BHLHE22	basic helix-loop-helix family member e22	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.317	12.906	NA	13.659
A1KYY9	WRN	WRN RecQ like helicase	Homo sapiens	17.504	16.948	16.416	16.567	NA	16.831	16.251	17.03	17.013	16.568	17.397	17.355	NA	16.835	NA
B3KVM2	DIRAS2	DIRAS family GTPase 2	Homo sapiens	NA	NA	12.152	11.302	NA	NA	NA	NA	NA	NA	NA	12.177	12.396	NA	NA
Q86T29	ZNF605	zinc finger protein 605	Homo sapiens	15.742	15.432	15.573	14.648	15.627	15.646	15.096	15.53	NA	NA	14.906	NA	15.434	15.749	15.113
A8K0S2	EIF3F	eukaryotic translation initiation factor 3 subunit F	Homo sapiens	14.727	14.92	15.147	14.22	15.186	15.005	14.94	15.131	14.668	NA	14.385	15.098	15.192	14.728	NA
Q53H10	RAD18	RAD18 E3 ubiquitin protein ligase	Homo sapiens	17.539	16.856	17.343	17.301	17.722	17.495	16.992	17.893	16.879	17.33	16.075	16.427	16.091	15.782	16.068
B4DE52	CRTAM	cytotoxic and regulatory T cell molecule	Homo sapiens	19.235	18.411	18.496	18.708	18.646	18.727	18.512	19.222	18.667	18.354	19.096	19.081	18.747	18.252	18.694
B2R4P1	CNIH1	cornichon family member 1	Homo sapiens	15.662	15.572	16.032	15.465	16.225	16.091	15.886	16.358	16.315	15.783	16.306	16.054	15.856	16.48	15.658
Q9H3S5	PIGM	phosphatidylinositol glycan anchor biosynthesis class M	Homo sapiens	13.703	NA	NA	NA	13.778	NA	NA	14.533	NA	NA	NA	14.489	NA	NA	NA
Q5T0B9	ZNF362	zinc finger protein 362	Homo sapiens	18.275	18.121	18.209	18.19	18.074	18.515	18.334	19.002	17.701	NA	18.769	19.243	18.556	18.522	17.862
A0A087WZB2	TYW1B	tRNA-yW synthesizing protein 1 homolog B	Homo sapiens	14.038	NA	13.911	12.924	NA	NA	NA	NA	NA	NA	NA	NA	14.26	13.694	13.852
A8K0P8	UTP25	UTP25 small subunit processome component	Homo sapiens	15.821	15.621	15.609	15.618	15.308	16.178	15.803	16.779	15.724	15.416	15.871	16.528	15.92	15.654	15.447
B2R5A4	PHLDA3	pleckstrin homology like domain family A member 3	Homo sapiens	NA	19.664	19.252	19.415	19.443	19.774	19.087	20.149	19.285	19.022	NA	19.973	19.091	19.345	19.481
A8K4V8	S100A10	S100 calcium binding protein A10	Homo sapiens	15.636	15.725	15.539	15.137	15.889	15.677	15.228	16.072	15.293	14.956	15.425	16.811	14.825	15.802	15.33
B4DKF9	ZNF286A	zinc finger protein 286A	Homo sapiens	NA	18.531	18.498	18.624	18.477	18.638	18.707	19.013	19.066	NA	19.094	18.814	18.194	18.792	18.171
A0A0K0K1J1	CST3	cystatin C	Homo sapiens	18.69	19.437	18.922	19.375	18.929	19.441	19.002	19.322	18.816	18.477	18.628	18.826	19.282	18.956	18.179
A0A7D5BUS2	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2	Homo sapiens	18.86	18.214	17.875	18.33	18.12	18.119	18.364	18.722	NA	18.087	NA	NA	18.169	18.005	17.974
Q59FA2	SRSF1	serine and arginine rich splicing factor 1	Homo sapiens	NA	13.016	NA	NA	NA	NA	12.858	NA	NA	NA	NA	13.13	13.333	13.61	12.999
B3KWM3	MYRIP	myosin VIIA and Rab interacting protein	Homo sapiens	15.892	15.793	15.919	15.414	15.776	16.039	15.928	16.061	NA	15.949	15.617	15.967	15.332	16.139	15.526
A0A5S6SZ32	PRIMPOL	primase and DNA directed polymerase	Homo sapiens	NA	13.474	NA	NA	NA	NA	NA	NA	NA	NA	12.839	13.114	13.205	13.447	NA
B4DUR5	MTBP	MDM2 binding protein	Homo sapiens	NA	NA	11.896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15219	HOXC10	homeobox C10	Homo sapiens	15.518	15.545	15.378	15.265	NA	15.614	15.089	16.191	15.38	15.017	15.084	15.881	15.302	15.41	14.944
Q59EN5	PSAP	prosaposin	Homo sapiens	14.927	14.214	14.942	14.159	14.908	15.096	NA	15.966	14.736	NA	15.097	14.601	14.63	NA	15.033
Q9UK61	TASOR	transcription activation suppressor	Homo sapiens	15.927	15.828	16.014	15.973	16.276	16.308	16.188	16.662	15.861	15.767	15.249	16.382	NA	16.149	15.938
D3DQL1	PANK3	pantothenate kinase 3	Homo sapiens	18.853	18.643	18.689	18.589	18.755	19.189	18.488	19.252	18.555	18.735	18.704	19.174	18.568	18.668	18.43
B3KN01	DZIP3	DAZ interacting zinc finger protein 3	Homo sapiens	15.452	15.001	15.309	14.895	NA	15.433	15.011	15.856	14.817	NA	15.287	15.201	NA	15.483	14.782
G3V1P3	BORCS5	BLOC-1 related complex subunit 5	Homo sapiens	NA	14.058	13.667	13.874	14.515	NA	NA	NA	NA	12.057	13.027	12.923	NA	12.885	13.219
A0A024RB53	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	Homo sapiens	17.701	17.45	17.072	17.507	NA	17.41	17.083	18.164	17.596	17.656	17.577	17.838	NA	17.699	17.5
Q540R4	LOC124905625	testis-specific Y-encoded protein 3	Homo sapiens	17.028	17.124	17.467	16.429	17.584	17.118	NA	17.994	17.21	17.228	NA	16.655	16.989	17.47	16.982
A0A0S2Q0B1	ARID1A	AT-rich interaction domain 1A	Homo sapiens	NA	NA	13.598	NA	13.512	13.244	13.072	NA	NA	NA	13.446	NA	NA	14.033	NA
O75795	UGT2B17	UDP glucuronosyltransferase family 2 member B17	Homo sapiens	15.814	NA	15.675	15.187	15.283	16.093	15.41	16.076	15.628	14.932	15.46	15.952	14.906	15.943	15.484
A0A140VKB6	SPATA19	spermatogenesis associated 19	Homo sapiens	NA	14.663	14.368	14.265	14.126	14.876	NA	15.028	14.249	14.428	14.546	15.333	14.907	NA	14.481
A6NIC5	NEK8	NIMA related kinase 8	Homo sapiens	14.459	13.941	NA	NA	NA	14.62	13.838	15.298	NA	NA	14.409	14.377	NA	NA	14.5
A7E2X9	SHROOM4	shroom family member 4	Homo sapiens	16.135	15.683	16.462	16.316	16.507	16.152	16.14	16.911	16.32	16.02	NA	NA	16.197	16.854	16.117
B4DGY6	NDFIP2	Nedd4 family interacting protein 2	Homo sapiens	15.955	15.01	15.108	14.572	15.391	15.739	NA	15.807	15.371	14.688	15.179	15.722	14.863	15.341	15.393
B4DT52	AQP9	aquaporin 9	Homo sapiens	12.956	NA	12.989	NA	NA	12.561	NA	NA	NA	NA	NA	12.62	NA	13.041	12.856
A7YA96	GGCX	gamma-glutamyl carboxylase	Homo sapiens	14.88	15.13	14.6	13.942	NA	14.436	14.778	14.947	NA	NA	14.988	14.667	14.857	15.165	NA
A0A669KBH5	SNCA	synuclein alpha	Homo sapiens	NA	NA	NA	11.692	NA	NA	NA	12.272	NA	NA	NA	NA	NA	NA	NA
B4DIK0	MRAS	muscle RAS oncogene homolog	Homo sapiens	14.465	14.056	14	13.69	NA	13.459	NA	14.874	14.325	14.243	NA	14.683	14.864	14.702	13.932
A0A024QZ77	EFHD2	EF-hand domain family member D2	Homo sapiens	17.07	17.372	16.986	16.517	16.759	17.692	17.256	NA	16.939	17.225	16.976	17.642	18.059	17.049	16.919
A6PVL6	DCDC1	doublecortin domain containing 1	Homo sapiens	14.922	NA	15.022	NA	NA	15	NA	15.178	14.237	NA	NA	14.702	NA	14.927	14.244
A0A126GVI0	OR8U3	olfactory receptor family 8 subfamily U member 3	Homo sapiens	14.989	15.194	NA	14.621	15.411	NA	15.33	15.279	14.865	14.711	14.781	15.902	15.156	15.388	14.913
A8K882	RAE1	ribonucleic acid export 1	Homo sapiens	18.486	17.641	18.446	17.679	17.647	NA	17.965	18.617	17.723	17.78	16.777	17.722	17.41	17.784	16.976
X5DNG0	CADPS2	calcium dependent secretion activator 2	Homo sapiens	17.351	17.515	17.462	17.07	NA	17.429	17.173	NA	17.56	17.162	17.309	17.514	16.98	17.711	16.869
B9EH38	OR52E8	olfactory receptor family 52 subfamily E member 8	Homo sapiens	15.859	15.967	15.255	15.256	15.507	NA	15.357	NA	15.424	15.618	15.903	15.867	16.067	15.712	15.101
A0A0C4DFX5	OR51T1	olfactory receptor family 51 subfamily T member 1	Homo sapiens	15.863	15.218	15.048	15.09	NA	15.167	NA	16.181	15.037	15.677	15.114	15.666	NA	15.249	15.147
A0A0K0K1J0	WFDC8	WAP four-disulfide core domain 8	Homo sapiens	14.812	14.73	NA	13.831	14.397	14.43	NA	14.382	13.414	NA	NA	NA	NA	14.909	14.341
Q9H6X4	TMEM134	transmembrane protein 134	Homo sapiens	20.431	20.264	19.981	19.725	20.372	20.23	19.484	NA	19.56	19.593	19.567	20.197	20.33	20.2	19.511
A3KMP9	CFAP69	cilia and flagella associated protein 69	Homo sapiens	19.663	19.848	19.447	19.36	19.534	19.9	19.717	19.34	18.885	NA	19.27	NA	19.81	19.658	19.494
Q8IZ69	TRMT2A	tRNA methyltransferase 2 homolog A	Homo sapiens	14.322	13.755	NA	14.237	NA	14.664	NA	14.677	14.4	14.081	15.066	14.491	14.671	14.613	14.138
B2R7Q4	PLAAT3	phospholipase A and acyltransferase 3	Homo sapiens	15.683	15.925	15.562	15.79	16.395	15.978	16.256	15.756	15.667	15.537	15.987	15.92	14.942	16.234	15.566
A0A087X0F7	RIBC2	RIB43A domain with coiled-coils 2	Homo sapiens	18.071	18.299	18.297	17.387	NA	20.673	20.293	20.953	20.642	20.879	16.68	16.554	16.138	17.102	16.284
A0A0A6YYL1	ST20-MTHFS	ST20-MTHFS readthrough	Homo sapiens	17.619	17.46	16.876	NA	17.832	17.773	17.791	17.795	17.382	17.553	17.437	17.314	17.605	17.656	17.537
B7Z5L4	SEZ6L2	seizure related 6 homolog like 2	Homo sapiens	16.683	16.69	16.878	NA	17.061	16.938	16.688	17.087	NA	16.308	16.578	16.881	17.047	NA	17.239
A6NC65	SEPTIN8	septin 8	Homo sapiens	NA	12.583	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.045	12.332	NA	NA
A0A384NL74	RBM34	RNA binding motif protein 34	Homo sapiens	14.731	14.683	NA	NA	14.796	NA	14.444	15.156	14.061	13.871	14.646	14.825	14.008	14.856	NA
A4QPH3	CCT8L2	chaperonin containing TCP1 subunit 8 like 2	Homo sapiens	18.758	18.26	18.898	18.394	NA	18.354	18.413	19.159	18.265	18.642	17.936	18.17	18.359	18.834	18.458
Q96K18	NKIRAS1	NFKB inhibitor interacting Ras like 1	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.445	NA
O14598	VCY1B	variable charge Y-linked 1B	Homo sapiens	17.44	16.436	16.542	16.759	16.805	16.03	16.756	17.479	16.498	16.322	16.629	16.43	16.514	16.97	16.17
A0A804HI95	ACTN2	actinin alpha 2	Homo sapiens	16.624	15.965	16.029	NA	16.036	16.285	16.021	16.789	16.064	15.769	18.019	17.79	NA	17.733	17.264
A0A140T9Z0	UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus	Homo sapiens	17.37	17.655	17.584	17.267	17.64	17.916	17.748	17.795	17.507	17.383	17.975	17.929	17.923	17.559	17.39
A0A994J542	SEC23IP	SEC23 interacting protein	Homo sapiens	18.044	17.349	17.298	17.296	17.396	17.823	17.466	18.122	17.712	17.372	17.631	18.095	17.692	17.877	17.442
C4AM86	KRT35	keratin 35	Homo sapiens	17.725	16.873	17.133	16.873	NA	17.962	17.234	17.178	17.133	16.899	17.5	17.622	16.874	17.888	16.953
A0A140VJG8	COMT	catechol-O-methyltransferase	Homo sapiens	16.81	16.816	16.006	16.022	17.001	16.657	16.238	17.409	16.409	16.034	16.482	17.204	16.677	16.888	16.522
B2RPQ4	FAM72C	family with sequence similarity 72 member C	Homo sapiens	16.569	15.699	15.769	15.298	16.304	16.321	NA	16.649	15.677	14.865	15.685	16.099	15.958	16.11	NA
A8K7G1	CCDC22	CCC complex scaffolding subunit CCDC22	Homo sapiens	NA	14.018	14.057	NA	NA	NA	NA	NA	NA	NA	NA	13.858	14.388	NA	NA
Q86WU2	LDHD	lactate dehydrogenase D	Homo sapiens	NA	14.944	NA	14.744	14.921	15.381	14.772	15.239	13.816	NA	14.861	14.546	15.397	15.272	14.729
B3KPR4	CSRNP3	cysteine and serine rich nuclear protein 3	Homo sapiens	20.608	19.685	19.187	19.76	19.798	20.065	19.713	20.239	19.413	19.442	19.552	19.668	19.725	19.95	20.265
A0PJT7	H3C7	H3 clustered histone 7	Homo sapiens	18.435	17.472	17.402	17.712	17.745	17.578	17.583	19.01	17.632	17.491	18.136	18.042	18.248	18.349	17.635
B4DWJ7	THEM6	thioesterase superfamily member 6	Homo sapiens	17.279	16.687	17.787	17.323	17.259	17.092	17.164	17.725	17.084	16.315	16.99	17.357	17.343	16.799	17.674
C9JDC8	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3	Homo sapiens	14.166	14.902	15.138	14.537	NA	14.573	NA	NA	14.08	NA	14.399	14.579	NA	14.682	14.682
Q8N344	MIER2	MIER family member 2	Homo sapiens	16.287	16.093	16.253	15.745	16.44	16.068	NA	15.818	15.733	15.313	15.913	15.658	16.506	16.009	15.89
E9PBY4	DNASE1L2	deoxyribonuclease 1 like 2	Homo sapiens	15.056	15.028	14.652	14.073	NA	14.854	14.366	15.108	14.555	14.659	14.561	15.099	15.012	14.668	14.188
Q0P5P5	C1orf141	chromosome 1 open reading frame 141	Homo sapiens	NA	14.702	15.363	14.705	15.22	15.261	14.71	NA	15.174	15.529	15.09	14.873	15.17	15.45	15.312
A0A080YUZ6	LYZL6	lysozyme like 6	Homo sapiens	17.966	17.944	18.078	17.997	18.139	18.233	17.714	18.926	17.774	17.763	18.471	18.248	17.744	NA	17.705
B4DVJ2	TRIM17	tripartite motif containing 17	Homo sapiens	17.678	17.607	17.217	17.561	17.172	17.782	17.813	18.075	17.529	17.553	17.383	NA	17.364	17.302	17.02
Q96A44	SPSB4	splA/ryanodine receptor domain and SOCS box containing 4	Homo sapiens	16.145	15.504	15.153	14.159	15.548	15.373	NA	16.135	15.442	14.885	14.68	15.333	15.218	16.03	NA
B8QGS9	PKP2	plakophilin 2	Homo sapiens	15.116	14.63	15.551	15.266	15.389	15.267	14.499	15.477	15.205	NA	15.251	15.364	15.232	NA	15.456
A8K8Z8	ARMH4	armadillo like helical domain containing 4	Homo sapiens	16.63	16.592	16.749	16.875	16.806	16.873	17.098	17.525	17.234	16.521	16.681	16.496	16.942	16.933	16.217
A8K4B5	BTN3A2	butyrophilin subfamily 3 member A2	Homo sapiens	14.528	14.807	14.773	14.307	14.632	15.345	NA	NA	NA	13.724	14.386	14.806	14.848	NA	NA
O95030	RHOXF1	Rhox homeobox family member 1	Homo sapiens	17.223	16.804	17.171	17.664	17.453	17.538	17.238	18.406	17.238	17.215	17.241	17.964	17.614	17.559	17.637
B2RCJ3	NXPH1	neurexophilin 1	Homo sapiens	17.88	17.304	17.516	17.498	17.387	17.516	17.558	18.112	17.222	17.306	17.878	17.599	18.209	17.86	NA
B2RXB8	BLOC1S3	biogenesis of lysosomal organelles complex 1 subunit 3	Homo sapiens	16.383	16.181	16.624	15.84	16.71	15.973	15.941	16.863	16.066	16.537	NA	16.599	16.399	16.469	15.709
B2R6H3	KIF18A	kinesin family member 18A	Homo sapiens	NA	13.453	NA	NA	NA	NA	NA	13.583	13.057	NA	NA	NA	NA	NA	NA
O96009	NAPSA	napsin A aspartic peptidase	Homo sapiens	NA	14.073	13.479	13.03	14.291	NA	NA	NA	NA	NA	NA	13.821	13.932	NA	NA
H3BUJ7	E4F1	E4F transcription factor 1	Homo sapiens	15.718	14.995	15.766	14.828	15.768	15.768	15.493	15.956	15.521	15.206	15.869	15.588	15.787	15.527	15.201
A0A384DVW2	CACNA1A	calcium voltage-gated channel subunit alpha1 A	Homo sapiens	17.828	17.611	18.282	17.543	19.35	18.133	18.595	18.899	18.477	18.552	18.1	19.265	18.456	18.922	18.786
Q6ZZB5	AIPL1	AIP like 1 HSP90 co-chaperone	Homo sapiens	15.942	15.717	NA	15.237	15.641	NA	16.345	16.291	15.418	15.524	15.732	15.783	15.619	15.446	15.703
P12882	MYH1	myosin heavy chain 1	Homo sapiens	13.835	13.933	13.508	12.944	NA	13.087	NA	13.148	NA	NA	12.929	13.967	13.426	13.514	NA
A0A126GW54	OR2AG2	olfactory receptor family 2 subfamily AG member 2	Homo sapiens	15.046	NA	NA	14.645	15.718	16.648	16.2	16.78	15.654	15.692	14.884	NA	NA	NA	NA
Q15172	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	Homo sapiens	15.902	15.691	15.373	NA	15.866	16.295	NA	15.446	15.021	14.985	15.522	15.769	15.921	15.522	15.172
B4DU97	SLC25A17	solute carrier family 25 member 17	Homo sapiens	14.164	NA	NA	13.874	14.483	14.112	13.92	NA	14.297	13.858	13.936	NA	13.835	14.365	13.661
